2012/06/12 01:08:21 - DW SELL OUT - Loading transformation from XML file [file:///root/Transformations/DWDNK\Trans\Sell-Out.ktr]
2012/06/12 01:08:21 - Sell-Out - Dispatching started for transformation [Sell-Out]
2012/06/12 01:08:23 - Sell out.0 - Finished reading query, closing connection.
2012/06/12 01:08:23 - Quita Nulos.0 - Finished processing (I=0, O=0, R=9875, W=9875, U=0, E=0)
2012/06/12 01:08:23 - Select values.0 - Finished processing (I=0, O=0, R=9875, W=9875, U=0, E=0)
2012/06/12 01:08:23 - Cantidades Validas.0 - Finished processing (I=0, O=0, R=9875, W=9875, U=0, E=0)
2012/06/12 01:08:23 - Dummy (do nothing).0 - Finished processing (I=0, O=0, R=641, W=641, U=0, E=0)
2012/06/12 01:08:23 - quita nulos .0 - Finished processing (I=0, O=0, R=9234, W=9234, U=0, E=0)
2012/06/12 01:08:23 - Sell out.0 - Finished processing (I=9875, O=0, R=0, W=9875, U=0, E=0)
2012/06/12 01:08:23 - String operations.0 - Finished processing (I=0, O=0, R=9234, W=9234, U=0, E=0)
2012/06/12 01:08:23 - Add sequence.0 - Finished processing (I=0, O=0, R=9234, W=9234, U=0, E=0)
2012/06/12 01:08:23 - Venta Moneda.0 - Finished processing (I=0, O=0, R=9234, W=9234, U=0, E=0)
2012/06/12 01:08:23 - Rangos de precios.0 - Finished processing (I=0, O=0, R=9234, W=9234, U=0, E=0)
2012/06/12 01:08:39 - Insert / Update.0 - Finished processing (I=9234, O=0, R=9234, W=9234, U=9234, E=0)
