2012/06/18 03:01:14 - PREDW Compras - Loading transformation from XML file [file:///root/Transformations/DWDNK\COMPRAS\DNK_COMPRAS_PLANA.ktr]
2012/06/18 03:01:14 - DNK_COMPRAS_PLANA - Dispatching started for transformation [DNK_COMPRAS_PLANA]
2012/06/18 03:01:24 - Transforma/Normaliza Tipo .0 - Optimization level set to 9.
2012/06/18 03:01:24 - Compras_DNK.0 - Finished reading query, closing connection.
2012/06/18 03:01:24 - Compras_DNK.0 - Finished processing (I=4973, O=0, R=0, W=4973, U=0, E=0)
2012/06/18 03:01:24 - Normaliza Genero.0 - Optimization level set to 9.
2012/06/18 03:01:24 - Transforma/Normaliza Tipo .0 - Finished processing (I=0, O=0, R=4973, W=4973, U=0, E=0)
2012/06/18 03:01:24 - Normaliza Genero.0 - Finished processing (I=0, O=0, R=4973, W=4973, U=0, E=0)
2012/06/18 03:01:24 - Compra Completada.0 - Finished processing (I=0, O=0, R=4973, W=4973, U=0, E=0)
2012/06/18 03:01:24 - Agrega Campos Nulos y Campo Finalizado.0 - Finished processing (I=0, O=0, R=679, W=679, U=0, E=0)
2012/06/18 03:01:26 - Campos de Fecha 2.0 - Finished processing (I=0, O=0, R=4294, W=4294, U=0, E=0)
2012/06/18 03:01:26 - Formula.0 - Finished processing (I=0, O=0, R=4294, W=4294, U=0, E=0)
2012/06/18 03:01:26 - Agrega Campo Finalizado.0 - Finished processing (I=0, O=0, R=4294, W=4294, U=0, E=0)
2012/06/18 03:01:26 - Tiene Precio.0 - Finished processing (I=0, O=0, R=4973, W=4973, U=0, E=0)
2012/06/18 03:01:26 - Si tiene precio.0 - Finished processing (I=0, O=0, R=3769, W=3769, U=0, E=0)
2012/06/18 03:01:26 - No tiene precio.0 - Finished processing (I=0, O=0, R=1204, W=1204, U=0, E=0)
2012/06/18 03:01:26 - Compras Positivas.0 - Finished processing (I=0, O=0, R=4973, W=4973, U=0, E=0)
2012/06/18 03:01:26 - No.0 - Finished processing (I=0, O=0, R=306, W=306, U=0, E=0)
2012/06/18 03:01:26 - Si.0 - Finished processing (I=0, O=0, R=4667, W=4667, U=0, E=0)
2012/06/18 03:01:40 - Insert / Update.0 - Finished processing (I=4973, O=837, R=4973, W=4973, U=42, E=0)
